product_id,product_name,category,subcategory,brand,launch_date,reorder_point,lead_time_days,product_status
P0001,VIP Laptops 242,Electronics,Laptops,VIP,2021-01-31,198,8,Active
P0002,Generic Bags 195,Accessories,Bags,Generic,2022-09-25,65,16,Discontinued
P0003,Samsung Sunglasses 765,Accessories,Sunglasses,Samsung,2024-04-17,189,36,Active
P0004,Philips Refrigerators 106,Home Appliances,Refrigerators,Philips,2021-02-13,50,29,Active
P0005,HP Staplers 444,Office Supplies,Staplers,HP,2020-05-31,36,7,Active
P0006,Wipro Microwaves 926,Home Appliances,Microwaves,Wipro,2021-11-09,21,31,Active
P0007,Godrej Bags 949,Accessories,Bags,Godrej,2018-11-19,170,41,Active
P0008,Dell Files 333,Office Supplies,Files,Dell,2018-10-12,84,7,Discontinued
P0009,Godrej Office Chairs 954,Furniture,Office Chairs,Godrej,2021-02-12,103,12,Active
P0010,Dell Staplers 799,Office Supplies,Staplers,Dell,2020-12-29,175,6,Active
P0011,HP Caps 267,Accessories,Caps,HP,2023-12-28,128,26,Active
P0012,VIP Markers 432,Office Supplies,Markers,VIP,2024-03-31,24,16,Active
P0013,Wipro Monitors 316,Electronics,Monitors,Wipro,2022-07-02,155,22,Active
P0014,Philips Sofas 758,Furniture,Sofas,Philips,2022-06-09,127,11,Active
P0015,Dell Notebooks 864,Office Supplies,Notebooks,Dell,2024-04-18,159,29,Active
P0016,Wipro Watches 241,Accessories,Watches,Wipro,2020-06-17,140,33,Active
P0017,Samsung Monitors 263,Electronics,Monitors,Samsung,2019-03-26,184,29,Active
P0018,Godrej Bags 579,Accessories,Bags,Godrej,2022-04-13,145,18,Active
P0019,Fastrack Bags 649,Accessories,Bags,Fastrack,2019-04-15,78,43,Active
P0020,Sony Pens 103,Office Supplies,Pens,Sony,2022-11-16,194,18,Active
P0021,Bosch Wallets 405,Accessories,Wallets,Bosch,2019-03-12,173,34,Active
P0022,HP Wallets 652,Accessories,Wallets,HP,2022-03-12,145,2,Active
P0023,Philips Belts 471,Accessories,Belts,Philips,2018-03-21,88,17,Active
P0024,Generic Smartphones 597,Electronics,Smartphones,Generic,2018-11-19,27,36,Active
P0025,Fastrack Desks 269,Furniture,Desks,Fastrack,2023-05-01,77,35,Active
P0026,Dell Watches 806,Accessories,Watches,Dell,2024-01-18,61,21,Active
P0027,Fastrack Mixers 629,Home Appliances,Mixers,Fastrack,2022-03-10,125,9,Active
P0028,LG Desks 667,Furniture,Desks,LG,2021-10-16,68,39,Discontinued
P0029,LG Office Chairs 132,Furniture,Office Chairs,LG,2018-08-30,94,6,Active
P0030,Sony Wallets 235,Accessories,Wallets,Sony,2023-06-12,195,38,Active
P0031,Dell Watches 294,Accessories,Watches,Dell,2023-04-22,34,8,Active
P0032,Godrej Washing Machines 846,Home Appliances,Washing Machines,Godrej,2022-08-11,23,45,Active
P0033,Godrej Laptops 211,Electronics,Laptops,Godrej,2021-10-21,73,14,Active
P0034,Philips Tables 385,Furniture,Tables,Philips,2019-07-29,128,17,Active
P0035,Prestige Headphones 767,Electronics,Headphones,Prestige,2024-03-04,148,2,Active
P0036,Dell Monitors 592,Electronics,Monitors,Dell,2019-11-13,64,27,Active
P0037,Godrej Smartphones 371,Electronics,Smartphones,Godrej,2018-01-09,126,20,Active
P0038,VIP Mixers 598,Home Appliances,Mixers,VIP,2024-03-26,49,14,Active
P0039,Samsung Notebooks 421,Office Supplies,Notebooks,Samsung,2024-01-30,24,5,Discontinued
P0040,Bosch Watches 620,Accessories,Watches,Bosch,2023-12-16,30,13,Active
P0041,LG Cameras 683,Electronics,Cameras,LG,2020-08-21,73,39,Active
P0042,Generic Bags 697,Accessories,Bags,Generic,2018-12-02,154,35,Active
P0043,Dell Staplers 505,Office Supplies,Staplers,Dell,2021-07-10,43,44,Active
P0044,Wipro Paper 736,Office Supplies,Paper,Wipro,2018-10-25,154,8,Discontinued
P0045,Dell Cameras 457,Electronics,Cameras,Dell,2023-09-04,27,17,Active
P0046,HP Staplers 820,Office Supplies,Staplers,HP,2022-11-30,87,41,Active
P0047,Fastrack Bags 779,Accessories,Bags,Fastrack,2024-03-21,36,10,Active
P0048,LG Pens 388,Office Supplies,Pens,LG,2024-03-16,164,15,Active
P0049,Fastrack Notebooks 357,Office Supplies,Notebooks,Fastrack,2020-12-17,23,7,Active
P0050,Samsung Washing Machines 233,Home Appliances,Washing Machines,Samsung,2018-01-15,173,18,Active
P0051,Philips Sofas 674,Furniture,Sofas,Philips,2024-03-09,12,9,Active
P0052,HP Printers 478,Electronics,Printers,HP,2024-02-13,159,37,Discontinued
P0053,HP Cabinets 915,Furniture,Cabinets,HP,2018-06-21,20,24,Active
P0054,Dell Sofas 673,Furniture,Sofas,Dell,2019-02-26,114,41,Active
P0055,HP Desks 125,Furniture,Desks,HP,2019-12-27,55,23,Active
P0056,VIP Mixers 906,Home Appliances,Mixers,VIP,2020-10-13,189,8,Active
P0057,Philips Microwaves 571,Home Appliances,Microwaves,Philips,2020-06-30,99,21,Active
P0058,Samsung Desks 385,Furniture,Desks,Samsung,2020-03-02,27,19,Active
P0059,Bosch Markers 963,Office Supplies,Markers,Bosch,2022-06-26,147,23,Active
P0060,Sony Laptops 371,Electronics,Laptops,Sony,2020-01-02,19,8,Active
P0061,Wipro Watches 623,Accessories,Watches,Wipro,2021-07-08,39,26,Active
P0062,Sony Wallets 101,Accessories,Wallets,Sony,2018-07-01,143,36,Active
P0063,Godrej Shelves 438,Furniture,Shelves,Godrej,2018-10-14,169,22,Active
P0064,Sony Printers 518,Electronics,Printers,Sony,2023-09-09,93,27,Active
P0065,HP Files 488,Office Supplies,Files,HP,2020-02-25,183,13,Active
P0066,Sony Sunglasses 100,Accessories,Sunglasses,Sony,2022-07-22,87,20,Active
P0067,Prestige Cabinets 552,Furniture,Cabinets,Prestige,2021-08-12,182,15,Active
P0068,Prestige Watches 390,Accessories,Watches,Prestige,2019-11-27,141,44,Active
P0069,LG Belts 330,Accessories,Belts,LG,2020-08-20,60,11,Active
P0070,Dell Laptops 886,Electronics,Laptops,Dell,2023-05-01,28,31,Active
P0071,Generic Mixers 493,Home Appliances,Mixers,Generic,2020-03-07,136,27,Active
P0072,Fastrack Desks 981,Furniture,Desks,Fastrack,2018-01-23,37,29,Active
P0073,Prestige Desks 670,Furniture,Desks,Prestige,2023-10-23,73,9,Active
P0074,Prestige Refrigerators 672,Home Appliances,Refrigerators,Prestige,2023-03-19,162,22,Active
P0075,VIP Fans 661,Home Appliances,Fans,VIP,2023-08-30,124,12,Active
P0076,Sony Air Conditioners 383,Home Appliances,Air Conditioners,Sony,2020-10-09,143,33,Active
P0077,Philips Shelves 340,Furniture,Shelves,Philips,2018-11-14,79,23,Active
P0078,LG Files 492,Office Supplies,Files,LG,2019-07-21,187,11,Active
P0079,Godrej Office Chairs 577,Furniture,Office Chairs,Godrej,2022-07-28,116,5,Active
P0080,Godrej Cabinets 883,Furniture,Cabinets,Godrej,2018-03-22,157,26,Active
P0081,Wipro Microwaves 973,Home Appliances,Microwaves,Wipro,2021-05-08,117,36,Active
P0082,Dell Sunglasses 546,Accessories,Sunglasses,Dell,2023-06-23,134,3,Active
P0083,Fastrack Washing Machines 960,Home Appliances,Washing Machines,Fastrack,2022-07-15,129,10,Active
P0084,Samsung Sunglasses 778,Accessories,Sunglasses,Samsung,2022-06-02,16,7,Active
P0085,Philips Refrigerators 488,Home Appliances,Refrigerators,Philips,2020-01-15,93,15,Discontinued
P0086,Wipro Washing Machines 951,Home Appliances,Washing Machines,Wipro,2022-04-02,117,18,Active
P0087,Samsung Headphones 458,Electronics,Headphones,Samsung,2024-01-19,67,43,Discontinued
P0088,Fastrack Monitors 353,Electronics,Monitors,Fastrack,2018-06-14,61,3,Active
P0089,Dell Wallets 217,Accessories,Wallets,Dell,2019-06-02,154,15,Active
P0090,Sony Mixers 721,Home Appliances,Mixers,Sony,2022-02-19,193,9,Active
P0091,LG Shelves 689,Furniture,Shelves,LG,2018-04-16,183,26,Active
P0092,Dell Mixers 950,Home Appliances,Mixers,Dell,2018-11-08,170,17,Active
P0093,Prestige Printers 714,Electronics,Printers,Prestige,2021-05-20,40,38,Active
