warehouse_id,warehouse_name,city,state,capacity_units,warehouse_manager,warehouse_type
W001,WH-DEL-01,Delhi,Delhi,10455,Manager_1,Distribution Center
W002,WH-BAN-02,Bangalore,Karnataka,15176,Manager_2,Central
W003,Warehouse-CHE-03,Chennai,Tamil Nadu,25274,Manager_3,Distribution Center
W004,WH-HYD-04,Hyderabad,Telangana,23623,Manager_4,Regional
W005,WH-PUN-05,Pune,Maharashtra,13603,Manager_5,Regional
W006,Warehouse-KOL-06,Kolkata,West Bengal,387087,Manager_6,Central
W007,WH-AHM-07,AHMEDABAD,Gujarat,36205,Manager_7,Distribution Center
W008,WH-JAI-08,Jaipur,Rajasthan,22852,Manager_8,Regional
W009,Warehouse-LUC-09,Lucknow,Uttar Pradesh,40342,Manager_9,Distribution Center
W010,WH-MUM-10,Mumbai,Maharashtra,34920,Manager_10,Distribution Center
W011,WH-DEL-11,Delhi,Delhi,41961,Manager_11,Distribution Center
W012,Warehouse-BAN-12,Bangalore,Karnataka,46912,Manager_12,Central
W013,WH-CHE-13,Chennai,Tamil Nadu,36565,Manager_13,Regional
W014,WH-HYD-14,HYDERABAD,Telangana,33957,Manager_14,Central
W015,Warehouse-PUN-15,Pune,Maharashtra,22026,Manager_15,Regional
W016,WH-KOL-16,Kolkata,West Bengal,5006,Manager_16,Regional
W017,WH-AHM-17,Ahmedabad,Gujarat,27536,Manager_17,Distribution Center
W018,Warehouse-JAI-18,Jaipur,Rajasthan,5545,Manager_18,Central
W019,WH-LUC-19,Lucknow,Uttar Pradesh,36265,Manager_19,Central
W020,WH-MUM-20,Mumbai,Maharashtra,24196,Manager_20,Regional
W021,Warehouse-DEL-21,DELHI,Delhi,40927,Manager_21,Central
W022,WH-BAN-22,Bangalore,Karnataka,41736,Manager_22,Regional
W023,WH-CHE-23,Chennai,Tamil Nadu,15700,Manager_23,Distribution Center
W024,Warehouse-HYD-24,Hyderabad,Telangana,30540,Manager_24,Regional
W025,WH-PUN-25,Pune,Maharashtra,22234,Manager_25,Distribution Center
W026,WH-KOL-26,Kolkata,West Bengal,20699,Manager_26,Distribution Center
W027,Warehouse-AHM-27,Ahmedabad,Gujarat,49868,Manager_27,Distribution Center
W028,WH-JAI-28,JAIPUR,Rajasthan,39861,Manager_28,Central
W029,WH-LUC-29,Lucknow,Uttar Pradesh,17320,Manager_29,Regional
W030,Warehouse-MUM-30,Mumbai,Maharashtra,13953,Manager_30,Distribution Center
W031,WH-DEL-31,Delhi,Delhi,34841,Manager_31,Central
W032,WH-BAN-32,Bangalore,Karnataka,45812,Manager_32,Central
W033,Warehouse-CHE-33,Chennai,Tamil Nadu,6271,Manager_33,Distribution Center
W034,WH-HYD-34,Hyderabad,Telangana,6450,Manager_34,Regional
W035,WH-PUN-35,PUNE,Maharashtra,23488,Manager_35,Distribution Center
W036,Warehouse-KOL-36,Kolkata,West Bengal,33732,Manager_36,Regional
W037,WH-AHM-37,Ahmedabad,Gujarat,10911,Manager_37,Central
W038,WH-JAI-38,Jaipur,Rajasthan,19233,Manager_38,Central
W039,Warehouse-LUC-39,Lucknow,Uttar Pradesh,37662,Manager_39,Central
W040,WH-MUM-40,Mumbai,Maharashtra,7079,Manager_40,Regional
W041,WH-DEL-41,Delhi,Delhi,8672,Manager_41,Central
W042,Warehouse-BAN-42,BANGALORE,Karnataka,9678,Manager_42,Regional
W043,WH-CHE-43,Chennai,Tamil Nadu,17595,Manager_43,Central
W044,WH-HYD-44,Hyderabad,Telangana,30007,Manager_44,Regional
W045,Warehouse-PUN-45,Pune,Maharashtra,21315,Manager_45,Central
W046,WH-KOL-46,Kolkata,West Bengal,21198,Manager_46,Regional
W047,WH-AHM-47,Ahmedabad,Gujarat,18053,Manager_47,Regional
W048,Warehouse-JAI-48,Jaipur,Rajasthan,39153,Manager_48,Regional
W049,WH-LUC-49,LUCKNOW,Uttar Pradesh,35987,Manager_49,Central
W050,WH-MUM-50,Mumbai,Maharashtra,26172,Manager_50,Distribution Center
